title,url,disc_price,original_price
Authentic Cthulhu Tube Semi-Mech Mod - Silver,https://www.cigabuy.com/authentic-cthulhu-tube-semi-mech-mod-silver-p-14136.html,$25.63 ,$15.23
Authentic Geekvape Aegis Boost Plus 40W Pod  Kit - Gunmetal,https://www.cigabuy.com/authentic-geekvape-aegis-boost-plus-40w-pod-kit-gunmetal-p-19111.html,$44.43 ,$28.93
Authentic Dovpo Odin 100 Box Mod - Silver,https://www.cigabuy.com/authentic-dovpo-odin-100-box-mod-silver-p-19701.html,$77.51 ,$56.85
Authentic Uwell Nunchaku 2 Vape Pen Mod - Silver,https://www.cigabuy.com/authentic-uwell-nunchaku-2-vape-pen-mod-silver-p-16215.html,$72.82 ,$37.79
Authentic Vaporesso Nexus 650mAh AIO Starter Kit TPD Edition - Green,https://www.cigabuy.com/authentic-vaporesso-nexus-650mah-aio-starter-kit-tpd-edition-green-p-19154.html,$20.66 ,$5.41
5.0 Bluetooth Adapter Led Screen Wireless Audio Blue Tooth Transmitter Receiver,https://www.cigabuy.com/50-bluetooth-adapter-led-screen-wireless-audio-blue-tooth-transmitter-receiver-p-19470.html,$18.67 ,$8.03
Authentic Dovpo Odin 100 Box Mod - Gunmetal,https://www.cigabuy.com/authentic-dovpo-odin-100-box-mod-gunmetal-p-19697.html,$77.51 ,$56.85
Waterproof Nylon Men Waist Pack Chest Bag Male Shoulder Messenger Bags,https://www.cigabuy.com/waterproof-nylon-men-waist-pack-chest-bag-male-shoulder-messenger-bags-p-19543.html,$20.56 ,$5.80
Wild Man Hard Case Bike Bag Bike Front Beam Bag Tube Waterproof Phone Bag,https://www.cigabuy.com/wild-man-hard-case-bike-bag-bike-front-beam-bag-tube-waterproof-phone-bag-p-19598.html,$20.41 ,$6.81
New Designer Leather Belt Men Vintage Pin Buckle Belt Soft Belt 120cm,https://www.cigabuy.com/new-designer-leather-belt-men-vintage-pin-buckle-belt-soft-belt-120cm-p-19585.html,$20.41 ,$6.20
Sunglasses Bluetooth 5.0 Earphone Headset X8S Headphones Smart Glasses,https://www.cigabuy.com/sunglasses-bluetooth-50-earphone-headset-x8s-headphones-smart-glasses-p-19313.html,$18.56 ,$5.48
Xiaomi ENCHEN Sharp3S Men's Electric Hair Clipper USB Rechargeable Hair Trimmer,https://www.cigabuy.com/xiaomi-enchen-sharp3s-mens-electric-hair-clipper-usb-rechargeable-hair-trimmer-p-18990.html,$28.19 ,$13.54
Multifunction Crossbody Bag for Men Anti-theft Shoulder Messenger Chest Bag,https://www.cigabuy.com/multifunction-crossbody-bag-for-men-anti-theft-shoulder-messenger-chest-bag-p-19045.html,$47.17 ,$10.00
Authentic THC Tauren Hybrid Smart Mech Mod - Brass Black,https://www.cigabuy.com/authentic-thc-tauren-hybrid-smart-mech-mod-brass-black-p-18866.html,$95.92 ,$45.86
52-In-1 Screwdriver Multi-Function Manual Screwdriver Combination Repair Kit,https://www.cigabuy.com/52-in-1-screwdriver-multi-function-manual-screwdriver-combination-repair-kit-p-19262.html,$20.25 ,$4.12
Authentic Eleaf iCard 650mAh 15W Starter Kit - Black,https://www.cigabuy.com/authentic-eleaf-icard-650mah-15w-starter-kit-black-p-15919.html,$10.34 ,$5.10
W15 TWS Wireless Headphones Bluetooth 5.0 For Waterproof Earbuds,https://www.cigabuy.com/w15-tws-wireless-headphones-bluetooth-50-for-waterproof-earbuds-p-19536.html,$20.41 ,$10.62
Authentic Geekvape Aegis Max 100W TC Starter Kit - Black Space,https://www.cigabuy.com/authentic-geekvape-aegis-max-100w-tc-starter-kit-black-space-p-18876.html,$72.97 ,$46.37
Hot Full Screen 0-150mm Vernier Caliper Gauge Micrometer Ruler Accurate Tools,https://www.cigabuy.com/hot-full-screen-0-150mm-vernier-caliper-gauge-micrometer-ruler-accurate-tools-p-19016.html,$18.46 ,$7.22
Wireless Bluetooth 5.0 Earphone Touch Control Headphones TWS Earbuds,https://www.cigabuy.com/wireless-bluetooth-50-earphone-touch-control-headphones-tws-earbuds-p-19035.html,$24.18 ,$9.27
Authentic Uwell Nunchaku 2 Vape Pen Mod - Black,https://www.cigabuy.com/authentic-uwell-nunchaku-2-vape-pen-mod-black-p-16216.html,$75.91 ,$39.87
USB Quick Charge 4 Port Fast Front Back Rear Seat Cars Charging Adapter,https://www.cigabuy.com/usb-quick-charge-4-port-fast-front-back-rear-seat-cars-charging-adapter-p-19476.html,$12.97 ,$6.61
Authentic Geekvape Zeus X Mesh RTA 4.5ml - Silver,https://www.cigabuy.com/authentic-geekvape-zeus-x-mesh-rta-45ml-silver-p-18439.html,$38.61 ,$25.04
2 x Authentic Uwell Valyrian II FeCrAl Quadruple Coil 0.15ohm,https://www.cigabuy.com/2-x-authentic-uwell-valyrian-ii-fecral-quadruple-coil-015ohm-p-15125.html,$9.31 ,$6.44
Authentic Geekvape Wenax Stylus Pod Starter Kit - Classic Black,https://www.cigabuy.com/authentic-geekvape-wenax-stylus-pod-starter-kit-classic-black-p-19295.html,$22.73 ,$14.46
Authentic Freemax Fireluke 3 Mesh Sub-Ohm Tank - Black,https://www.cigabuy.com/authentic-freemax-fireluke-3-mesh-sub-ohm-tank-black-p-19167.html,$36.17 ,$21.70
Authentic Dovpo Odin 100 Box Mod - Red,https://www.cigabuy.com/authentic-dovpo-odin-100-box-mod-red-p-19699.html,$77.51 ,$56.85
Authentic Uwell Crown 4 5/6ML Sub-Ohm Tank Atomizer - Black,https://www.cigabuy.com/authentic-uwell-crown-4-56ml-sub-ohm-tank-atomizer-black-p-13397.html,$37.69 ,$23.05
2000W Electric Heat Gun Adjust 150 To 550 Degree Industrial Hot Air Gun,https://www.cigabuy.com/2000w-electric-heat-gun-adjust-150-to-550-degree-industrial-hot-air-gun-p-19238.html,$50.36 ,$7.85
Authentic OXVA Origin X 60W Pod Kit - Pine Green,https://www.cigabuy.com/authentic-oxva-origin-x-60w-pod-kit-pine-green-p-19694.html,$47.55 ,$32.04
Authentic Dovpo Odin Mini 75W DNA75C TC Box Mod - Brushed Red,https://www.cigabuy.com/authentic-dovpo-odin-mini-75w-dna75c-tc-box-mod-brushed-red-p-19381.html,$155.03 ,$118.87
Authentic Geekvape Aegis Boost 1500mAh Pod System Kit - Gunmetal,https://www.cigabuy.com/authentic-geekvape-aegis-boost-1500mah-pod-system-kit-gunmetal-p-16429.html,$41.27 ,$22.84
Xiaomi Mijia 10inch LCD Blackboard Writing Tablet with Pen Digital Drawing Pad,https://www.cigabuy.com/xiaomi-mijia-10inch-lcd-blackboard-writing-tablet-with-pen-digital-drawing-pad-p-18917.html,$26.12 ,$10.00
Tigernu No Key Anti theft TSA Lock Backpacks 15.6inch USB Charging Mochila 18L,https://www.cigabuy.com/tigernu-no-key-anti-theft-tsa-lock-backpacks-156inch-usb-charging-mochila-18l-p-19455.html,$69.89 ,$14.53
Authentic Geekvape Aegis Max 100W TC Starter Kit - White Storm,https://www.cigabuy.com/authentic-geekvape-aegis-max-100w-tc-starter-kit-white-storm-p-18879.html,$72.97 ,$46.37
Authentic Steam Crave Titan PWM V1.5 Mod - Silver,https://www.cigabuy.com/authentic-steam-crave-titan-pwm-v15-mod-silver-p-19518.html,$66.14 ,$51.68
Authentic Geekvape Aegis Boost Plus 40W Pod  Kit - Classic Silver,https://www.cigabuy.com/authentic-geekvape-aegis-boost-plus-40w-pod-kit-classic-silver-p-19110.html,$44.43 ,$28.93
Authentic Wotofo nexMESH PRO TANK - Rainbow,https://www.cigabuy.com/authentic-wotofo-nexmesh-pro-tank-rainbow-p-19860.html,$36.18 ,$20.16
Authentic Wotofo nexMESH PRO TANK - Blue,https://www.cigabuy.com/authentic-wotofo-nexmesh-pro-tank-blue-p-19857.html,$36.18 ,$20.16
2 x VOOPOO VINCI Replacement Pod Cartridge 5.5ml,https://www.cigabuy.com/2-x-voopoo-vinci-replacement-pod-cartridge-55ml-p-16566.html,$7.14 ,$4.26
Men Genuine Leather Strap Male Belts for New Classic Vintage Pin Buckle Strap,https://www.cigabuy.com/men-genuine-leather-strap-male-belts-for-new-classic-vintage-pin-buckle-strap-p-19224.html,$15.46 ,$4.33
LED Mosquito Killer Lamp LED Electronic Bug Zapper Energy,https://www.cigabuy.com/led-mosquito-killer-lamp-led-electronic-bug-zapper-energy-p-19629.html,$20.41 ,$5.80
Alarm Clock Intelligent Switch with Voice-controlled Night Light Clock,https://www.cigabuy.com/alarm-clock-intelligent-switch-with-voice-controlled-night-light-clock-p-19609.html,$42.20 ,$11.08
